iter	Passed	Remaining
0	141	141713
1	151	75710
2	157	52434
3	160	40063
4	163	32512
5	168	27845
6	170	24218
7	173	21493
8	176	19388
9	178	17667
10	181	16347
11	184	15160
12	186	14151
13	188	13253
14	189	12444
15	190	11737
16	192	11115
17	193	10559
18	196	10157
19	198	9719
20	199	9313
21	201	8941
22	202	8600
23	203	8289
24	205	8001
25	206	7735
26	207	7489
27	209	7271
28	212	7105
29	213	6909
30	215	6721
31	216	6546
32	217	6380
33	219	6223
34	220	6075
35	221	5935
36	222	5803
37	224	5691
38	227	5601
39	228	5487
40	229	5378
41	231	5273
42	232	5174
43	233	5079
44	235	4988
45	236	4901
46	237	4817
47	238	4739
48	240	4662
49	241	4591
50	243	4528
51	244	4460
52	245	4394
53	247	4330
54	248	4268
55	249	4210
56	251	4153
57	252	4098
58	253	4046
59	254	3994
60	256	3944
61	258	3907
62	259	3861
63	260	3816
64	262	3772
65	263	3730
66	264	3688
67	266	3648
68	267	3609
69	268	3571
70	270	3534
71	271	3498
72	272	3465
73	274	3438
74	276	3407
75	277	3375
76	278	3343
77	280	3311
78	281	3281
79	282	3252
80	284	3223
81	285	3195
82	286	3167
83	287	3140
84	290	3122
85	291	3096
86	292	3071
87	293	3046
88	295	3022
89	296	2999
90	297	2976
91	299	2953
92	300	2930
93	301	2909
94	303	2887
95	305	2874
96	306	2854
97	307	2833
98	309	2813
99	310	2794
100	312	2777
101	313	2761
102	315	2744
103	316	2726
104	317	2708
105	319	2690
106	321	2680
107	322	2663
108	323	2647
109	325	2630
110	326	2615
111	327	2599
112	329	2583
113	330	2567
114	331	2552
115	332	2537
116	334	2522
117	336	2514
118	337	2501
119	339	2487
120	341	2479
121	342	2466
122	344	2454
123	345	2441
124	346	2428
125	348	2416
126	349	2403
127	351	2397
128	353	2385
129	354	2374
130	356	2362
131	357	2349
132	358	2337
133	359	2325
134	361	2314
135	362	2302
136	363	2291
137	365	2280
138	367	2274
139	368	2263
140	370	2254
141	371	2243
142	372	2235
143	374	2224
144	375	2214
145	376	2204
146	378	2194
147	379	2184
148	380	2175
149	382	2170
150	384	2163
151	386	2155
152	387	2145
153	388	2136
154	390	2127
155	391	2118
156	392	2109
157	394	2100
158	395	2091
159	396	2082
160	399	2080
161	400	2071
162	402	2064
163	403	2057
164	404	2048
165	406	2040
166	407	2032
167	408	2024
168	410	2016
169	411	2008
170	412	2001
171	414	1997
172	416	1989
173	417	1981
174	418	1974
175	420	1966
176	421	1959
177	422	1951
178	423	1944
179	425	1936
180	426	1929
181	427	1922
182	429	1918
183	431	1912
184	432	1904
185	433	1897
186	434	1891
187	436	1884
188	437	1877
189	438	1871
190	440	1864
191	441	1857
192	442	1850
193	444	1844
194	445	1840
195	447	1833
196	448	1826
197	449	1820
198	450	1813
199	451	1807
200	453	1801
201	454	1795
202	455	1789
203	457	1783
204	458	1777
205	460	1774
206	461	1768
207	462	1762
208	464	1756
209	465	1750
210	466	1744
211	467	1739
212	469	1733
213	470	1727
214	471	1722
215	473	1717
216	474	1711
217	476	1709
218	477	1703
219	478	1697
220	480	1692
221	481	1687
222	482	1682
223	484	1676
224	485	1671
225	486	1666
226	487	1661
227	489	1656
228	490	1651
229	492	1648
230	493	1643
231	494	1638
232	496	1633
233	497	1628
234	498	1623
235	499	1618
236	501	1613
237	502	1608
238	503	1603
239	504	1598
240	506	1594
241	508	1591
242	509	1586
243	510	1582
244	511	1577
245	513	1572
